title;unit;in_storage;type;cost;gost;fasovka;characteristic;main_provider
Ароматизатор Брусника 3902;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ваниль 1141 (РФ);кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ваниль (Австрия);кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ванильно-сливочный 2401;кг;0;Ароматизаторы;0;;;;1
Аароматизатор Виноград 9004;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Вишня 1152;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Горький миндаль (Австрия);кг;0;Ароматизаторы;0;;;;1
Ароматизатор Горький миндаль 1181;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Грецкий орех 1171;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Груша 1161;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Дыня 1103;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Дюшес 9015;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Зеленое яблоко 3403;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Земляника 1605;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ирландский крем 7112;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Какао 1301;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Карамель 2403;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Клубника 1603;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Клюква 7500;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Кокос 1701;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Коньяк 9000;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Кофе 1401;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Креветка МА/1 333;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Крем-брюле 7115;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Лесной орех 1991;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Лимон (Австрия);кг;0;Ароматизаторы;0;;;;1
Ароматизатор Лимон (РФ) 1903;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Малина 2002;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Мандарин 2012;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Мед 2301;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Мята 7001;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Персик 7003;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ром  (РФ) 2802;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Ром (Австрия);кг;0;Ароматизаторы;0;;;;1
Ароматизатор Сгущеное молоко 3301;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Слива 9090;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Смородина 3001;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Творог 3208;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Топленое молоко 3309;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Фруктовое ассорти 3703;кг;0;Ароматизаторы;0;;;;1
Ароматизатор Шоколад 1202;кг;0;Ароматизаторы;0;;;;1
Ванилин (Ваниллар) 1410055;кг;0;Ванилин;0;;;;1
Ванилин Vanilave;кг;0;Ванилин;0;;;;1
Ванилин VL-607 ГОСТ фольга 0,5;кг;0;Ванилин;0;;;;1
Ванилин VN-007;кг;0;Ванилин;0;;;;1
Ванилин VN-107 0,5;кг;0;Ванилин;0;;;;1
Ванилин VN-307;кг;0;Ванилин;0;;;;1
Глазурь шоколад. "Медовик" логотип;шт;0;Глазурь;0;;;;1
Глазурь шоколадная "Треугольник белый";шт;0;Глазурь;0;;;;1
Глазурь шоколадная "Треугольник темный";шт;0;Глазурь;0;;;;1
Напиток шок. "Голден Чок" 1л;л;0;Глазурь;0;;;;1
Пралине фисташковое;кг;0;Глазурь;0;;;;1
Пралине хрустящее Крокант "Лимонное безе" (ведро);кг;0;Глазурь;0;;;;1
Шоколад  Ariba Bianko Рani белый;кг;0;Глазурь;0;;;;1
Шоколад Ariba Fondante Pani 57(36/38) по1кг;кг;0;Глазурь;0;;;;1
Шоколад темный "Ariba Fondente Pani 36/38" (красный);кг;0;Глазурь;0;;;;1
Шоколад Ariba Fondente Pani72 (38/40) по1 кг;кг;0;Глазурь;0;;;;1
Шоколад молочный "Ariba Latte Pani 34/36" (синий);кг;0;Глазурь;0;;;;1
Шоколад  "Белый Сargill белый 29% какао;кг;0;Глазурь;0;;;;1
Шоколад Сargill молочный 34% какао;кг;0;Глазурь;0;;;;1
Шоколад Сargill Темный 54% какао;кг;0;Глазурь;0;;;;1
Ганаш черный шоколад НАЧИНКА;кг;0;Шоколад;0;;;;1
Глазурь  "Caravella Cover Cocoa"темная;кг;0;Шоколад;0;;;;1
Глазурь белая "Caravella Cover White";кг;0;Шоколад;0;;;;1
Глазурь Кавер молоч.(паста) 5 кг;кг;0;Шоколад;0;;;;1
Глазурь конд. белая ГК-2Б Блиссо;кг;0;Шоколад;0;;;;1
Глазурь кондитерская Блиссо дропсы  01-13;кг;0;Шоколад;0;;;;1
Глазурь кондитерская Блиссо дропсы  02-14;кг;0;Шоколад;0;;;;1
Глазурь кондитерская Блиссо дропсы  03-14;кг;0;Шоколад;0;;;;1
Глазурь конд.темная 04-14  Блиссо;кг;0;Шоколад;0;;;;1
Глазурь Мируар ваниль мягкая;кг;0;Шоколад;0;;;;1
Глазурь палитра (желтый) лимон;кг;0;Шоколад;0;;;;1
Глазурь палитра (зеленый) яблоко 4ZБС;кг;0;Шоколад;0;;;;1
Глазурь палитра (красный) клубника 4КБС;кг;0;Шоколад;0;;;;1
Глазурь палитра (синяя) голубика;кг;0;Шоколад;0;;;;1
Глазурь помадка белая White N Glossy;кг;0;Шоколад;0;;;;1
Глазурь помадная белая Fondant 7 кг 230000065;кг;0;Шоколад;0;;;;1
Глазурь-Помадка Фондант коробка;кг;0;Шоколад;0;;;;1
Глазурь проф Апельсиновая Аэлита;кг;0;Шоколад;0;;;;1
Глазурь проф. Белая  1бс  (Аэлита);кг;0;Шоколад;0;;;;1
Глазурь помадно-шоколадная Реди Айс;кг;0;Шоколад;0;;;;1
Глазурь Соломка "апельсин";кг;0;Шоколад;0;;;;1
Глазурь Соломка"белая";кг;0;Шоколад;0;;;;1
Глазурь Соломка "вишня";кг;0;Шоколад;0;;;;1
Глазурь Соломка "клубника";кг;0;Шоколад;0;;;;1
Глазурь Соломка"лимон";кг;0;Шоколад;0;;;;1
Глазурь Соломка"орех";кг;0;Шоколад;0;;;;1
Глазурь Соломка"темная";кг;0;Шоколад;0;;;;1
Глазурь Соломка"яблоко";кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Квадрат Белый" 1кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Кофейные зерна";кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Наполеон" логотип;шт;0;Шоколад;0;;;;1
Глазурь шоколадная "Орех фундук";кг;0;Шоколад;0;;;;1
Глазурь шоколад  "Палочки мраморные 1,5кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Сердечко красное" , 6*1,5кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Треугольник мраморный";кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Хлопья Малахит" 10 кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Хлопья Мраморные" 10 кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Хлопья Янтарь" 10 кг;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Хлопья Яшма" 1/10;кг;0;Шоколад;0;;;;1
Глазурь шоколадная "Чизкейк" логотип;шт;0;Шоколад;0;;;;1
